BikeRackID,Name,RackType,Capacity,Individual,Secure,BikeAreaUse,Position,LastDate,Maintains,Notes,Max_PDOP,Rcvr_Type,GPS_Date,GPS_Time,Unfilt_Pos,Vert_Prec,Horz_Prec,Lat,Lng,Active
BR_01,East Potomac Park Pool,U-Rack,10,1,Fully,No,Bolted to eachother,10/4/2016 0:00,DC,off season when inventoried,2.7,Geo 7X (H-Star),10/4/2016 0:00,09:53:02am,64,0.1,0.1,38.87497179,-77.02701913,Active
BR_02,East Potomac Park Pool 2,Grid,8,1,Fully,No,Free Standing,10/4/2016 0:00,DC,needs replaced. old not user friendly.inventoried during off season.,3.7,Geo 7X (H-Star),10/4/2016 0:00,09:54:31am,73,0.1,0.1,38.87493822,-77.02699438,Active
BR_03,MLK,U-Rack,16,8,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,"off season, unknown if they use other areas.one rack slightly loose",1.7,Geo 7X (H-Star),10/4/2016 0:00,10:20:24am,86,0.1,0.1,38.88603444,-77.04510564,Active
BR_04,FDR Entrance,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,"off season, unknown if theynuse other areas",4.4000001,Geo 7X (H-Star),10/4/2016 0:00,10:26:07am,60,0.6,0.2,38.88441744,-77.04440517,Active
BR_05,FDR Exit,U-Rack,10,5,Fully,No, ,10/4/2016 0:00,NPS,"off season, unknown if using other areas",3.5,Geo 7X (H-Star),10/4/2016 0:00,10:36:13am,61,0.1,0.1,38.88221469,-77.04148313,Active
BR_06,NAMA HQ,U-Rack,4,2,Fully,Yes,Bolted to Ground,10/4/2016 0:00,NPS,off seaso,3.9000001,Geo 7X (H-Star),10/4/2016 0:00,10:46:06am,30,0.1,0.1,38.88168595,-77.0323782,Active
BR_07,NAMA HQ 2,Other,2,1,Not,Yes,Bolted to Ground,10/4/2016 0:00,NPS,off season. loose,3.3,Geo 7X (H-Star),10/4/2016 0:00,10:46:49am,41,0.1,0.1,38.88167622,-77.03236488,Active
BR_08,East Potomac Park Tennis Courts,Grid,5,1,Partially,Unknown,Free Standing,10/4/2016 0:00,Other,off weason. not secured to ground. tennis courts maintain?,2.5999999,Geo 7X (H-Star),10/4/2016 0:00,11:35:22am,65,0.1,0.1,38.87902269,-77.03115379,Active
BR_09,West Basin Drive Entrance,Bollard,12,6,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. t-bollard bike racks.,2.0999999,Geo 7X (H-Star),10/4/2016 0:00,11:44:09am,60,0.1,0.1,38.88381518,-77.04607708,Active
BR_10,Korean War Memorial Kiosk,U-Rack,8,4,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season.,4.9000001,Geo 7X (H-Star),10/4/2016 0:00,11:49:31am,33,0.1,0.1,38.88839419,-77.04904439,Active
