Object,Plot_Name,Unit_Code,Lat,Lng,PC1,PC2,PC3,PC4,PC5
1,ANTI-0025,ANTI,39.48761665,-77.74998138,Field Sparrow,Cedar Waxwing,American Goldfinch,Brown-headed Cowbird,Northern Cardinal
2,ANTI-0036,ANTI,39.4855039,-77.74408523,Rock Pigeon,Indigo Bunting,Northern Cardinal,Field Sparrow,Mourning Dove
3,ANTI-0052,ANTI,39.48079775,-77.75261887,Northern Cardinal,American Crow,Eastern Wood-Pewee,Indigo Bunting,Eastern Towhee
4,ANTI-0072,ANTI,39.47636639,-77.74953802,American Crow,Northern Cardinal,Indigo Bunting,American Goldfinch,Eastern Towhee
5,ANTI-0078,ANTI,39.47677729,-77.73211775,Indigo Bunting,Northern Cardinal,Eastern Towhee,Field Sparrow,Mourning Dove
6,ANTI-0082,ANTI,39.47718558,-77.71469713,Northern Cardinal,Indigo Bunting,Baltimore Oriole,Cedar Waxwing,American Crow
7,ANTI-0092,ANTI,39.47466358,-77.72622302,Eastern Wood-Pewee,Northern Cardinal,Red-bellied Woodpecker,Wood Thrush,American Crow
8,ANTI-0185,ANTI,39.44977616,-77.73106142,Indigo Bunting,Northern Cardinal,Eastern Wood-Pewee,Blue-gray Gnatcatcher,Carolina Wren
9,ANTI-0190,ANTI,39.44732114,-77.73967999,Field Sparrow,Indigo Bunting,Northern Cardinal,American Crow,Eastern Tufted Titmouse
10,ANTI-0194,ANTI,39.44759422,-77.72807125,Northern Cardinal,Red-eyed Vireo,Wood Thrush,Acadian Flycatcher,Blue-gray Gnatcatcher
11,ANTI-0200,ANTI,39.44520773,-77.7337876,Northern Cardinal,American Crow,American Goldfinch,Eastern Tufted Titmouse,Red-eyed Vireo
12,ANTI-0201,ANTI,39.44527595,-77.7308855,Eastern Tufted Titmouse,Red-eyed Vireo,American Crow,Blue-gray Gnatcatcher,Northern Cardinal
13,ANTI-0206,ANTI,39.44295763,-77.73369956,Blue-gray Gnatcatcher,Northern Cardinal,Red-bellied Woodpecker,Acadian Flycatcher,American Goldfinch
14,ANTI-0207,ANTI,39.44302585,-77.73079755,Wood Thrush,Acadian Flycatcher,Eastern Wood-Pewee,Red-bellied Woodpecker,Red-eyed Vireo
15,CATO-0003,CATO,39.68504915,-77.48380553,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,Eastern Tufted Titmouse,Acadian Flycatcher
16,CATO-0004,CATO,39.68267388,-77.48955002,Red-eyed Vireo,Wood Thrush,Ovenbird,Eastern Tufted Titmouse,Eastern Wood-Pewee
17,CATO-0016,CATO,39.67604733,-77.48348287,Red-eyed Vireo,Wood Thrush,Eastern Tufted Titmouse,Eastern Wood-Pewee,Northern Cardinal
18,CATO-0022,CATO,39.67117126,-77.50079417,Gray Catbird,Wood Thrush,Northern Cardinal,Red-eyed Vireo,American Redstart
19,CATO-0035,CATO,39.66923361,-77.486153,Eastern Wood-Pewee,Red-eyed Vireo,Wood Thrush,Blue Jay,Red-bellied Woodpecker
20,CATO-0037,CATO,39.66935822,-77.48032895,Wood Thrush,Red-eyed Vireo,Eastern Wood-Pewee,Scarlet Tanager,Eastern Tufted Titmouse
21,CATO-0049,CATO,39.66710775,-77.48024843,Red-eyed Vireo,Wood Thrush,Scarlet Tanager,Eastern Wood-Pewee,Eastern Tufted Titmouse
22,CATO-0062,CATO,39.66491947,-77.47725607,Wood Thrush,Eastern Wood-Pewee,Red-eyed Vireo,Ovenbird,Scarlet Tanager
23,CATO-0084,CATO,39.6599191,-77.50038832,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,Acadian Flycatcher,Scarlet Tanager
24,CATO-0086,CATO,39.66004439,-77.49456511,Red-eyed Vireo,Wood Thrush,Ovenbird,Scarlet Tanager,Eastern Wood-Pewee
25,CATO-0092,CATO,39.66041853,-77.47709527,Wood Thrush,Scarlet Tanager,Red-eyed Vireo,Eastern Wood-Pewee,Hooded Warbler
26,CATO-0094,CATO,39.66054265,-77.47127191,Red-eyed Vireo,Wood Thrush,Ovenbird,Eastern Wood-Pewee,Blue Jay
