OBJECTID_1,OBJECTID,ASSETNUM,DESCRIPTIO,INSERVICE,LOCATIONDE,ISNFPA,LASTSERVIC,BATTALION,ENGINEID,XCOOR,YCOOR,DCS_LAST_M,lat,lng
1,2119420,H20332,"BOLLINGAFB - HYDRANT, KENNEDY-K81-A/D GUAR",Y,IN FRONT OF BLDG 400 DIA ACCESS ROAD SW NORTHSIDE - ANACOSTIA ANNEX #26 //SOUTH OF BLDG 397,Y,2011-08-03T00:00:00.000Z,3,E-25,399119,131387,2012-06-06T06:00:31.000Z,38.85029072,-77.0101482
2,2119408,H20320,"GSA - HYDRANT, KENNEDY-K81-A/D GUAR",Y,ACCESS RD SW SOUTHSIDE - ANACOSTIA ANNEX #64 //ACCESS RD SOUTHERN SIDE OF BLDG 410,Y,2011-08-03T00:00:00.000Z,3,E-25,398726,131417,2012-06-06T06:00:31.000Z,38.85055976,-77.01467607
3,2119955,H21130,"GSA - HYDRANT, MUELLER-SUP CENT 250",Y,IN FRONT OF ROBBINS RD SW EASTSIDE - ANACOSTIA ANNEX BLDG 485,Y,2011-08-03T00:00:00.000Z,3,E-25,398592,131436,2012-06-06T06:00:31.000Z,38.8507345,-77.01622033
4,2119421,H20333,"BOLLINGAFB - HYDRANT, KENNEDY-K81-A/D GUAR",Y,BROOKLEY AVE SW OTHER - ANACOSTIA ANNEX #78 //NE OF BLDG. 409,Y,2011-08-03T00:00:00.000Z,3,E-25,399253,131449,2012-06-06T06:00:31.000Z,38.85084916,-77.00859696
5,2119407,H20319,"GSA - HYDRANT, KENNEDY-K81-A/D GUAR",Y,IN FRONT OF ACCESS RD SW EASTSIDE - ANACOSTIA ANNEX #65 // EAST OF BLDG 410,Y,2011-08-03T00:00:00.000Z,3,E-25,398796,131452,2012-06-06T06:00:31.000Z,38.85088144,-77.0138597
6,2119418,H20330,"BOLLINGAFB - HYDRANT, KENNEDY-K81-A/D GUAR",Y,ACCESS ROAD SW EASTSIDE - ANACOSTIA ANNEX #25 //NW OF BLDG. 397,Y,2011-08-03T00:00:00.000Z,3,E-25,399107,131465,2012-06-06T06:00:31.000Z,38.85099817,-77.01028477
7,2119404,H20316,"GSA - HYDRANT, KENNEDY-K81-A/D GUAR",Y,IN FRONT OF ACCESS RD SW OTHER - ANACOSTIA ANNEX #63 //SWC OF BLDG 410,Y,2011-08-03T00:00:00.000Z,3,E-25,398689,131469,2012-06-06T06:00:31.000Z,38.85102681,-77.01509824
8,2119419,H20331,"BOLLINGAFB - HYDRANT, AM DARLING - B-62-B",Y,DIA ACCESS RD SW NORTHSIDE - ANACOSTIA ANNEX #71 //EAST OF BLDG 421,N,2011-08-03T00:00:00.000Z,3,E-25,398977,131506,2012-06-06T06:00:31.000Z,38.85136107,-77.01178261
9,2119405,H20317,"GSA - HYDRANT, KENNEDY-K81-A/D GUAR",Y,ACCESS RD SW WESTSIDE - ANACOSTIA ANNEX #62 //ACCESS RD WEST OF  BLDG 410,Y,2011-08-03T00:00:00.000Z,3,E-25,398677,131509,2012-06-06T06:00:31.000Z,38.85139037,-77.01523703
11,2119956,H21131,"GSA - HYDRANT, MUELLER-SUP CENT 250",Y,REAR OF BLDG 485 ROBBINS RD SW WESTSIDE - ANACOSTIA ANNEX,Y,2011-08-03T00:00:00.000Z,3,E-25,398535,131519,2012-06-06T06:00:31.000Z,38.85148228,-77.0168717
