OBJECTID_1,OBJECTID,ASSETNUM,DESCRIPTIO,INSERVICE,LOCATIONDE,ISNFPA,LASTSERVIC,BATTALION,ENGINEID,XCOOR,YCOOR,DCS_LAST_M,lat,lng
10,2119406,H20318,"GSA - HYDRANT, KENNEDY-K81-A/D GUAR",N,ACCESS RD SW SOUTHSIDE - ANACOSTIA ANNEX #61 //ACCESS RD NORTH OF BLDG 410,Y,2011-08-03T00:00:00.000Z,3,E-25,398735,131518,2012-06-06T06:00:31.000Z,38.85147611,-77.01456794
16,2119713,H21054,"BOLLINGAFB - HYDRANT, AM DARLING - B-84-B",N,IN FRONT OF CUDAHEY ST BUILDING 370 SW NORTHSIDE - ANACOSTIA ANNEX//IN PARKING LOT,N,2011-08-03T00:00:00.000Z,3,E-25,399296,131637,2012-06-06T06:00:31.000Z,38.85254301,-77.00810972
30,2119424,H20336,"BOLLINGAFB - HYDRANT, AM DARLING - B-84-B",N,PARKING LOT CUDAHEY ST SW EASTSIDE - ANACOSTIA ANNEX #81 //NE OF BLDG. 371,N,2011-08-03T00:00:00.000Z,3,E-25,399394,131793,2012-06-06T06:00:31.000Z,38.8539506,-77.00697956
43,2119526,H20352,"BOLLINGAFB - HYDRANT, MUELLER-SUP CENT 250",N,BROOKLEY AVE SW OTHER - ANACOSTIA ANNEX #12 //NEC OF BLDG 356,N,2011-08-03T00:00:00.000Z,3,E-25,399389,132050,2012-06-06T06:00:31.000Z,38.85626607,-77.00703324
60,2119534,H20363,"BOLLINGAFB - HYDRANT, MICHIGAN - O'BRIEN",N,NULL - ANACOSTIA ANNEX #22 //E OF BLDG 350,N,2011-08-03T00:00:00.000Z,3,E-25,399392,132307,2012-06-06T06:00:31.000Z,38.8585846,-77.00700455
86,2115998,H05878,"NPS - HYDRANT, CLOW - EDDY",N,OHIO DR SW WESTSIDE - PARKING LOT REAR OF USPP SUBSTATION,N,2011-11-25T00:00:00.000Z,6,E-13,397681,134158,2012-06-06T06:00:31.000Z,38.87525677,-77.02672202
101,2121172,H20880,"NPS - HYDRANT, CLOW - EDDY",N,OHIO DR //WEST BET WEST BASIN DR AND EAST BASIN DR SW NORTHSIDE - NPS // NEAR TIDAL BASIN ENTRANCE //FDR MEM.,N,2011-08-08T00:00:00.000Z,6,E-23,396155,134936,2012-06-06T06:00:31.000Z,38.8822542,-77.04431256
102,2121173,H20881,"NPS - HYDRANT, CLOW - EDDY",N,OHIO DR INT WEST BASIN DR SW NORTHSIDE - NPS // NEAR WEST BASIN DR.  INT.,N,2011-08-08T00:00:00.000Z,6,E-23,396023,135065,2012-06-06T06:00:31.000Z,38.88341548,-77.04582654
104,2121164,H20872,"NPS - HYDRANT, CLOW - EDDY",N,WEST BASIN DR INT OHIO DR SW NWC - NPS // #13,N,2011-08-08T00:00:00.000Z,6,E-23,395985,135120,2012-06-06T06:00:31.000Z,38.88391457,-77.0462747
105,2121165,H20873,"NPS - HYDRANT, AM DARLING - B-84-B",N,WEST BASIN DR BET OHIO DR AND ROOSEVELT MEMORIAL SW NORTHSIDE - NPS // FDR MEMORIAL - #14,N,2011-08-08T00:00:00.000Z,6,E-23,396038,135168,2012-06-06T06:00:31.000Z,38.88434885,-77.04565439
106,2121288,H20916,"NPS - HYDRANT, AM DARLING - B-84-B",N,IN FRONT OF ROOSEVELT MEMORIAL SW NEC - NPS //,N,2011-08-09T00:00:00.000Z,6,E-23,396142,135171,2012-06-06T06:00:31.000Z,38.88437667,-77.04445835
127,2118473,H08526,"NPS - HYDRANT, AM DARLING - B-84-B",N,JEFFERSON DR BET 7TH ST AND 4TH ST SW NORTHSIDE,N,2011-11-22T00:00:00.000Z,6,E-13,398259,135664,2012-06-06T06:00:31.000Z,38.88882301,-77.0200664
131,2114139,H03933,"NPS - HYDRANT, AM DARLING - B-84-B",N,4TH ST INT JEFFERSON DR SW NEC - NPS // NATIONAL MALL,N,2011-11-22T00:00:00.000Z,6,E-13,398485,135672,2012-06-06T06:00:31.000Z,38.8888961,-77.01745391
140,2114201,H03999,"NPS - HYDRANT, CLOW - EDDY",N,MADISON DR BET 4TH ST AND 7TH ST SW SOUTHSIDE - ON NATIONAL MALL,N,2012-04-23T00:00:00.000Z,6,E-13,398281,135833,2012-06-06T06:00:31.000Z,38.89034539,-77.0198028
