FountainID,Name,Location,Operational,NumberofFountains,Type,Fountain1Fxn,Fountain2Fxn,OverallCondition,ApproxInstallDate,Notes,TargetRepairDate,ResNumber,Lat,Lng
DF_EP_01,East Potomac,"Ohio Drive, entrance to Haines Point at Golf Course",Partially Operational,2,MDF,Water doesn't run,Water doesn't run,Good,2011,"As of 9/7/2016, push buttons water would not run.  Operational, but pending EPP channel side water line repair", ,333,38.87441768,-77.02479532
DF_EP_02,East Potomac,"Ohio Drive, Washington Channel side by D-1, at bathroom",Not Operational,2,Haws,Water doesn't run,Water doesn't run,Poor,0,"As of 09/07/2016, short fountain needs knob.  Short spout located in the correct spot?  Up for Replacement",FY17,333,38.87603026,-77.02672777
DF_EP_03,East Potomac,Hains Point Playground,Partially Operational,2,MDF,Works,Water dribbles,Good,2011,"As of 09/07/2016, shorter one dribbles barely over spout.  Is the spout on the short one located in the correct spot?", ,333,38.86088897,-77.02337412
DF_EP_04,East Potomac,"Hains Point Bus parking, Washington Channel Side",Not Operational,2,MDF,Water doesn't run,Water doesn't run,Good,2011,"As of 9/7/2016, water does not run & sticks jammed in drainage holes.  Operational, but pending on EPP channel side water line repair", ,333,38.85984615,-77.02217066
DF_EP_05,East Potomac,Comfort station closest to the Hains Point Exit,Partially Operational,2,MDF,Water dribbles,Works,Good,0,"As of 9/7/2016, located at a bathroom that is closed for repair.  Tall dribbles, short works fine.  ", ,333,38.87319258,-77.03156367
DF_FDR_06,FDR Memorial,"Ohio Dr., at Inlet Bridge (FDR side)",Fully Operational,2,MDF,Works,Works,Fair,0,Up for replacement.  , ,332,38.88048321,-77.04068811
DF_FDRA_07,FDR Athletic Fields,On Ohio Drive near Ball Field 3,Fully Operational,1,Haws,Works,,Fair,0,As of 09/06/2016 takes a while for the water to come out., ,332,38.88105482,-77.04257949
DF_FDRA_08,FDR Athletic Fields,Opposite FDR Fields at Airmail Stone,Not Operational,1,Haws,Water doesn't run,,Poor,0,"As of 09/06/2016 not working, stand loose from ground, rusty and corroded.    Up For Replacement.", ,332,38.8814152,-77.04343373
DF_FDRA_09,FDR Athletic Fields,On Ohio Drive near ball field 5,Fully Operational,1,Haws,Works,,Fair,0, , ,332,38.88226205,-77.04428601
DF_FDRA_10,FDR Athletic Fields,Across from West Basin Drive,Not Operational,1,Haws,Water doesn't run,,Fair,0,Graffiti on fountain base,9/16/2016,332,38.88342054,-77.04579453
DF_FDRA_11,FDR Athletic Fields,"West Basin Dr., at Tourmobile kiosk",Not Operational,1,Haws,Water doesn't run,,Fair,0,Replace,9/26/2016,332,38.88422942,-77.04667241
DF_MLK_12,MLK Memorial,MLK Memorial in front of restrooms,Fully Operational,2,MDF,Works,Works,Good,0, , ,332,38.88613177,-77.04522897
DF_MLK_13,MLK Memorial,MLK Memorial in front of restrooms,Fully Operational,2,MDF,Works,Works,Good,0, , ,332,38.88613225,-77.04521286
DF_FDR_14,FDR Memorial,"FDR Center Plaza, FDR Prologue across from Visitor Center",Not Operational,2,Haws,Water doesn't run,Water doesn't run,Fair,0,As of 09/06/2016 not working.  Special fountain type specific to FDR.  Remove,FY17,332,38.88383547,-77.0443664
DF_FDR_15,FDR Memorial,FDR Memorial at restroom entrance,Partially Operational,2,Haws,Water doesn't run,Water dribbles,Fair,0,"Remove & replace w/ wall mounted.On 9/6/2016,1 side dribbles when off. (If putting in wall mount, include water bottle fill)",FY17,332,38.88410112,-77.04402634
DF_FDR_16,FDR Memorial,"West Basin Drive, Permit Parking X",Fully Operational,2,Haws,Works,Works,Good,2015, , ,332,38.88498278,-77.04508324
DF_LINC_17,Lincoln Memorial Circle,Lincoln Memorial Circle,Fully Operational,2,MDF,Works,Works,Good,0,Leaking at base of short fountain.  Rusty access panel and rusty arm., ,332,38.89036412,-77.04975666
DF_KWM_18,By Korean War Memorial Info Kiosk,Near Korean Memorial Kiosk,Fully Operational,2,MDF,Works,Works,Good,2014,"If ever replace, replace with combo drinking fountain/water bottle fill station.", ,332,38.88837612,-77.04908658
DF_KWM_19,Korean War Memorial near Daniel French Dr SW,Korean War Memorial near Daniel French Dr SW,Fully Operational,2,MDF,Works,Works,Good,2014, , ,332,38.8881622,-77.04853271
DF_VWM_20,Vietnam Veterans Memorial,East of Vietnam Women's Memorial,Partially Operational,2,MDF,Water dribbles,Works,Good,2014, , ,332,38.89067098,-77.04665166
DF_DCWM_21,DC War Memorial ,South of DC War Memorial on Independence Drive,Fully Operational,2,MDF,Works,Works,Good,2014,"As of 09//08/2016, Short drain is not draining properly.", ,332,38.88711832,-77.04326987
