FountainID,Name,Location,Operational,NumberofFountains,Type,Fountain1Fxn,Fountain2Fxn,OverallCondition,ApproxInstallDate,Notes,TargetRepairDate,ResNumber,Lat,Lng,Image_
DF_FDR_06,FDR Memorial,"Ohio Dr., at Inlet Bridge (FDR side)",Fully Operational,2,MDF,Works,Works,Fair,0,Up for replacement.  , ,332,38.88048321,-77.04068811,
DF_FDRA_07,FDR Athletic Fields,On Ohio Drive near Ball Field 3,Fully Operational,1,Haws,Works,,Fair,0,As of 09/06/2016 takes a while for the water to come out., ,332,38.88105482,-77.04257949,
DF_FDRA_09,FDR Athletic Fields,On Ohio Drive near ball field 5,Fully Operational,1,Haws,Works,,Fair,0, , ,332,38.88226205,-77.04428601,
DF_MLK_12,MLK Memorial,MLK Memorial in front of restrooms,Fully Operational,2,MDF,Works,Works,Good,0, , ,332,38.88613177,-77.04522897,
DF_MLK_13,MLK Memorial,MLK Memorial in front of restrooms,Fully Operational,2,MDF,Works,Works,Good,0, , ,332,38.88613225,-77.04521286,
DF_FDR_16,FDR Memorial,"West Basin Drive, Permit Parking X",Fully Operational,2,Haws,Works,Works,Good,2015, , ,332,38.88498278,-77.04508324,
DF_LINC_17,Lincoln Memorial Circle,Lincoln Memorial Circle,Fully Operational,2,MDF,Works,Works,Good,0,Leaking at base of short fountain.  Rusty access panel and rusty arm., ,332,38.89036412,-77.04975666,
DF_KWM_18,By Korean War Memorial Info Kiosk,Near Korean Memorial Kiosk,Fully Operational,2,MDF,Works,Works,Good,2014,"If ever replace, replace with combo drinking fountain/water bottle fill station.", ,332,38.88837612,-77.04908658,
DF_KWM_19,Korean War Memorial near Daniel French Dr SW,Korean War Memorial near Daniel French Dr SW,Fully Operational,2,MDF,Works,Works,Good,2014, , ,332,38.8881622,-77.04853271,
DF_DCWM_21,DC War Memorial ,South of DC War Memorial on Independence Drive,Fully Operational,2,MDF,Works,Works,Good,2014,"As of 09/08/2016, Short drain is not draining properly.", ,332,38.88711832,-77.04326987,
DF_ST_23,Sylvan Theater near WAMO walkway,Sylvan Theater near WAMO walkway,Fully Operational,2,MDF,Works,Works,Good,0,"As of 09/08/2016, both sides work, but behind cones/flagging", ,2,38.88825075,-77.03485314,
DF_WAMO_24,WAMO/WWII south near 17th,WAMO/WWII south near 17th,Fully Operational,2,MDF,Works,Works,Good,,"As of 09/08/2016, access panel door not fully shut", ,2,38.88890037,-77.03931245,
DF_WAMO_25,WAMO,WAMO/WWII north near 17th,Fully Operational,2,MDF,Works,Works,Good,2011,"As of 09/08/2016, Leaking from access panel (algae and mold underneath).  Graffiti on fountain", ,2,38.88994624,-77.03930858,
DF_WAMO_26,WAMO,"WAMO, Constitution and 17th",Fully Operational,2,MDF,Works,Works,Fair,0, , ,2,38.89190461,-77.0392439,
DF_GAFG_28,German American Friendship Gardens east,Friendship Gardens east,Fully Operational,2,MDF,Works,Works,Good,2011, , ,2,38.89185883,-77.03585139,
DF_WWII_29,WWII ,"WWII North, north Elm Walk on Contemplation Garden Side",Fully Operational,2,MDF,Works,Works,Good,2012,"As of 09/08/2016, black paint chipping off", ,332,38.89010538,-77.04038352,
DF_WWII_30,WWII,WWII near WWII kiosk,Fully Operational,2,MDF,Works,Works,Good,2012, , ,332,38.88832198,-77.04083496,
DF_WAMO_31,15th and Jefferson refreshment kiosk,15th and Jefferson refreshment kiosk,Fully Operational,2,MDF,Works,Works,Good,0,"Overall graffiti, bottom access panel coming off, when up for replacement replace with combo drinking fountain/water bottle fill station", ,2,38.88859871,-77.0325895,
DF_WAMO_32,"WAMO, near 15th and Independence","WAMO, near 15th and Independence",Fully Operational,2,MDF,Works,Works,Good,0,, ,2,38.88858233,-77.03346597,
DF_VVM_34,Vietnam Veterans Memorial,North Vietnam near Constitution,Fully Operational,1,Haws,Works,,Poor,0,Up for replacement, ,332,38.89156308,-77.047278,
DF_MALL_35,Jefferson Memorial near refreshment kiosk,Jefferson Memorial near refreshment kiosk,Fully Operational,2,MDF,Works,Works,Good,2012, As of 09/08/2016 looks like leaking from arm/access panel.  Replace with drinking fountain/bottle fill combo., ,332,38.87999006,-77.03734775,
DF_VC_36,Volleyball courts,Volleyball Courts Parkway Drive,Fully Operational,2, ,Works,Works,Good,2015,Both take a while to emit water , ,332,38.89106758,-77.05361343,
DF_EP_37,East Potomac Tennis Courts,Tennis Courts,Fully Operational,2,Other,Works,Works,Good,0,Needs cleaned, ,333,38.87894496,-77.03113315,
DF_EP_38,Buckeye Drive Parking Lot/Tennis Courts,Buckeye Drive Parking Lot/Tennis Courts,Fully Operational,2,Other,Works,Works,Good,0,Needs cleaned, ,333,38.87840792,-77.03038283,
