FountainID,Name,Location,Operational,NumberofFountains,Type,Fountain1Fxn,Fountain2Fxn,OverallCondition,ApproxInstallDate,Notes,TargetRepairDate,ResNumber,Lat,Lng
DF_EP_02,East Potomac,"Ohio Drive, Washington Channel side by D-1, at bathroom",Not Operational,2,Haws,Water doesn't run,Water doesn't run,Poor,0,"As of 09/07/2016, short fountain needs knob.  Short spout located in the correct spot?  Up for Replacement",FY17,333,38.87603026,-77.02672777
DF_EP_04,East Potomac,"Hains Point Bus parking, Washington Channel Side",Not Operational,2,MDF,Water doesn't run,Water doesn't run,Good,2011,"As of 9/7/2016, water does not run & sticks jammed in drainage holes.  Operational, but pending on EPP channel side water line repair", ,333,38.85984615,-77.02217066
DF_FDRA_08,FDR Athletic Fields,Opposite FDR Fields at Airmail Stone,Not Operational,1,Haws,Water doesn't run,,Poor,0,"As of 09/06/2016 not working, stand loose from ground, rusty and corroded.    Up For Replacement.", ,332,38.8814152,-77.04343373
DF_FDRA_10,FDR Athletic Fields,Across from West Basin Drive,Not Operational,1,Haws,Water doesn't run,,Fair,0,Graffiti on fountain base,9/16/2016,332,38.88342054,-77.04579453
DF_FDRA_11,FDR Athletic Fields,"West Basin Dr., at Tourmobile kiosk",Not Operational,1,Haws,Water doesn't run,,Fair,0,Replace,9/26/2016,332,38.88422942,-77.04667241
DF_FDR_14,FDR Memorial,"FDR Center Plaza, FDR Prologue across from Visitor Center",Not Operational,2,Haws,Water doesn't run,Water doesn't run,Fair,0,As of 09/06/2016 not working.  Special fountain type specific to FDR.  Remove,FY17,332,38.88383547,-77.0443664
DF_COGO_33,Constitution Gardens,Constitution near 21st (across from 2nd light post),Not Operational,1,Haws,Water doesn't run,,Poor,,, ,332,38.89171591,-77.0460662
DF_MALL_40,The Mall,Madison across from National Gallery of Art,Not Operational,2,MDF,Water doesn't run,Water doesn't run,Fair,0,"Supply line removed during turf project.  Push button missin gon tall fountain, tall fountain catch basin loose. ",9/30/2016,5,38.89050621,-77.01979368
DF_FDR_44,FDR Memorial,FDR exit ,Not Operational,2,Haws,Water doesn't run,Water doesn't run,Fair,0,Remove and replace with wall mounted.  If replacing with wall mounted include combo water bottle fill., FY17,332,38.88267216,-77.04151094
DF_WAMO_45,WAMO,Constitution and 15th,Not Operational,2,MDF,Water doesn't run,Water doesn't run,Good,0,Need to located and excavate existing valve.,9/26/2016,2,38.89189735,-77.03392519
DF_UP_53,FDR Memorial Stone,"FDR Stone Memorial PA Ave, between 7th and 9th St",Not Operational,2,Brass-Bird Bath,Water doesn't run,Water doesn't run,Fair,0,To be removed pending new PAAV design.  Coordinating with RM., ,PEAV,38.89345685,-77.02343329
DF_UP_54,John Marshall Park,John Marshall Park ,Not Operational,2,Brass-Bird Bath,Water doesn't run,Water doesn't run,Fair,0,To be removed pending new PAAV design.  Coordinating with RM., ,PEAV,38.89332038,-77.01722555
DF_UP_55,Pershing Square,"Pershing Square, north fountain. Between 14th & 15th NW",Not Operational,1,Haws-Stone Base,Water doesn't run,,Fair,0,Needs parts and work order.  Partnership?, ,617,38.89607317,-77.0327603
DF_UP_56,Pershing Square,"Pershing Square, south fountain. Between 14th & 15th NW",Not Operational,1,Haws-Stone Base,Water doesn't run,,Fair,0,Needs parts and work order.  Partnership?, ,617,38.89591003,-77.0327525
DF_UP_61,National Law Enforcement,"National Law Enforcement Officers Memorial, Southeast",Not Operational,1,Haws,Water doesn't run,,Good,2012, ,9/19/2016,7,38.89628885,-77.01727967
DF_UP_62,National Law Enforcement,"Natioanl Law Enforcement Officers Memorial, northwest",Not Operational,1,Haws,Water doesn't run,,Good,2012, , ,7,38.89721118,-77.01782443
DF_UP_63,African American Civil War Memorial,"African American Civil War Memorial, 10th and U St NW",Not Operational,1,Haws,Water doesn't run,,Good,0,Remove and replace.,9/26/2016,170,38.91664757,-77.02585895
DF_UP_66,Franklin Square,"Franklin Square, southwest. K St 13th-14th NW",Not Operational,2,MDF,Water doesn't run,Water doesn't run,Fair,0,"Cap vandalized lines, repair waterline leak, & make repairs.  Looks like leak from arm to base since the rust is there, needs painted. ",9/19/2016,9,38.90158492,-77.03141827
DF_UP_67,Franklin Square,"Franklin Square, southeast. K St 13th-14th NW",Not Operational,2,MDF,Water doesn't run,Water doesn't run,Fair,0,"Cap vandalized lines, repair waterline leak, & make repairs.",9/19/2016,9,38.90162786,-77.03034375
DF_UP_70 ,Lonfellow Statue,"Longfellow Statue, Connecticut between 18th & M NW",Not Operational,2,MDF,Water doesn't run,Water doesn't run,Good,0,Disconnected by DC.  DC slow to respond., ,150,38.90594404,-77.04156313
DF_UP_71 ,Walt Whitman Park,"Walt Whitman Park, E St, between 19th and 20th NW",Not Operational,2,MDF,Water doesn't run,Water doesn't run,Good,0,Replace with playground.  Leaking from bottom/base.,FY17,715,38.89564238,-77.043825
DF_UP_73,Owen Park,"Owen Park, eastern side.  New York & Virginia, 20th & 21 NW",Not Operational,1,Concrete,Water doesn't run,,Poor,0,Maintenance agreement with someone?  Base falling apart.  Not ADA Compliant., ,378,38.89430399,-77.04540475
